Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,2021-01-09,18:00 (22:30),Genoa,1.4,2–0,0.5,Bologna,,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
17,Sat,2021-01-09,20:45 (01:15),Milan,1.6,2–0,0.6,Torino,,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,
17,Sun,2021-01-10,12:30 (17:00),Roma,1.1,2–2,2.0,Inter,,Stadio Olimpico,Marco Di Bello,Match Report,
17,Sun,2021-01-10,15:00 (19:30),Udinese,2.8,1–2,2.0,Napoli,,Dacia Arena,Fabrizio Pasqua,Match Report,
17,Sun,2021-01-10,15:00 (19:30),Parma,0.6,0–2,3.6,Lazio,,Stadio Ennio Tardini,Luca Pairetto,Match Report,
17,Sun,2021-01-10,15:00 (19:30),Hellas Verona,1.1,2–1,0.7,Crotone,,Stadio Marc'Antonio Bentegodi,Luca Massimi,Match Report,
17,Sun,2021-01-10,18:00 (22:30),Fiorentina,2.1,1–0,1.5,Cagliari,,Stadio Artemio Franchi,Piero Giacomelli,Match Report,
17,Sun,2021-01-10,20:45 (01:15),Juventus,3.8,3–1,1.1,Sassuolo,,Allianz Stadium,Davide Massa,Match Report,
17,Mon,2021-01-11,20:45 (01:15),Spezia,1.4,2–1,1.0,Sampdoria,,Stadio Dino Manuzzi,Marco Piccinini,Match Report,
,,,,,,,,,,,,,
18,Fri,2021-01-15,20:45 (01:15),Lazio,,,,Roma,,Stadio Olimpico,,Head-to-Head,
18,Sat,2021-01-16,15:00 (19:30),Bologna,,,,Hellas Verona,,Stadio Renato Dall'Ara,,Head-to-Head,
18,Sat,2021-01-16,18:00 (22:30),Torino,,,,Spezia,,Stadio Olimpico di Torino,,Head-to-Head,
18,Sat,2021-01-16,20:45 (01:15),Sampdoria,,,,Udinese,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
18,Sun,2021-01-17,12:30 (17:00),Napoli,,,,Fiorentina,,Stadio San Paolo,,Head-to-Head,
18,Sun,2021-01-17,15:00 (19:30),Crotone,,,,Benevento,,Stadio Ezio Scida,,Head-to-Head,
18,Sun,2021-01-17,15:00 (19:30),Sassuolo,,,,Parma,,Stadio Città del Tricolore,,Head-to-Head,
18,Sun,2021-01-17,18:00 (22:30),Atalanta,,,,Genoa,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,
18,Sun,2021-01-17,20:45 (01:15),Inter,,,,Juventus,,Stadio Giuseppe Meazza,,Head-to-Head,
18,Mon,2021-01-18,20:45 (01:15),Cagliari,,,,Milan,,Sardegna Arena,,Head-to-Head,
,,,,,,,,,,,,,
